Etc/UTC,Open,High,Low,Close,Volume
2026-05-21T00:00:00+00:00,1.16247,1.16249,1.16228,1.16232,85500000
2026-05-21T00:01:00+00:00,1.16232,1.16233,1.16228,1.16233,82350000
2026-05-21T00:02:00+00:00,1.16236,1.16246,1.16236,1.16244,32400000
2026-05-21T00:03:00+00:00,1.16241,1.16243,1.16229,1.16241,118350000
2026-05-21T00:04:00+00:00,1.16241,1.16253,1.16241,1.16248,65250000
2026-05-21T00:05:00+00:00,1.16248,1.16252,1.16246,1.1625,35100000
2026-05-21T00:06:00+00:00,1.1625,1.16255,1.16247,1.16248,39600000
2026-05-21T00:07:00+00:00,1.16248,1.16254,1.16247,1.16247,45900000
2026-05-21T00:08:00+00:00,1.16245,1.16247,1.16235,1.16239,66150000
2026-05-21T00:09:00+00:00,1.16238,1.16249,1.16238,1.16248,113850000
2026-05-21T00:10:00+00:00,1.16246,1.16253,1.16244,1.16248,66150000
2026-05-21T00:11:00+00:00,1.16248,1.16253,1.16245,1.16249,31840000
2026-05-21T00:12:00+00:00,1.16249,1.1626,1.16249,1.1626,88200000
2026-05-21T00:13:00+00:00,1.16259,1.16263,1.16259,1.1626,62550000
2026-05-21T00:14:00+00:00,1.16261,1.16261,1.16255,1.16257,64350000
2026-05-21T00:15:00+00:00,1.16258,1.16272,1.16255,1.16265,82350000
2026-05-21T00:16:00+00:00,1.16265,1.16265,1.16258,1.16262,55350000
2026-05-21T00:17:00+00:00,1.16261,1.16261,1.16258,1.16259,23400000
2026-05-21T00:18:00+00:00,1.16259,1.16259,1.16221,1.16235,164940000
2026-05-21T00:19:00+00:00,1.16233,1.16245,1.16224,1.16244,73800000
2026-05-21T00:20:00+00:00,1.16245,1.16252,1.16238,1.16243,95740000
2026-05-21T00:21:00+00:00,1.16245,1.16248,1.16239,1.16243,95850000
2026-05-21T00:22:00+00:00,1.16242,1.16243,1.16237,1.16241,65700000
2026-05-21T00:23:00+00:00,1.16243,1.16243,1.16229,1.16238,56700000
2026-05-21T00:24:00+00:00,1.16238,1.1625,1.16238,1.1625,44100000
2026-05-21T00:25:00+00:00,1.16249,1.16254,1.16248,1.16249,49950000
2026-05-21T00:26:00+00:00,1.16249,1.16253,1.16244,1.16247,45900000
